iter	Passed	Remaining
0	75	37567
1	101	25284
2	112	18567
3	122	15138
4	132	13101
5	141	11682
6	158	11152
7	172	10633
8	185	10119
9	197	9684
10	210	9378
11	222	9054
12	235	8806
13	248	8642
14	263	8504
15	275	8339
16	289	8223
17	301	8072
18	313	7935
19	338	8133
20	359	8191
21	369	8038
22	391	8113
23	401	7956
24	413	7860
25	425	7758
26	436	7643
27	446	7518
28	456	7416
29	471	7384
30	481	7277
31	495	7244
32	511	7233
33	526	7213
34	537	7137
35	549	7077
36	561	7022
37	570	6939
38	588	6954
39	610	7022
40	633	7089
41	650	7097
42	668	7108
43	688	7133
44	716	7243
45	729	7204
46	744	7172
47	758	7144
48	775	7136
49	787	7084
50	807	7112
51	830	7154
52	846	7138
53	859	7095
54	873	7068
55	885	7022
56	897	6973
57	908	6926
58	925	6916
59	938	6880
60	951	6847
61	963	6808
62	986	6841
63	1000	6812
64	1011	6767
65	1023	6730
66	1035	6694
67	1047	6651
68	1057	6608
69	1068	6565
70	1082	6541
71	1095	6514
72	1112	6508
73	1127	6491
74	1138	6453
75	1150	6418
76	1160	6374
77	1184	6409
78	1198	6384
79	1209	6350
80	1221	6317
81	1233	6289
82	1245	6255
83	1257	6228
84	1272	6214
85	1294	6233
86	1306	6203
87	1321	6188
88	1338	6180
89	1357	6182
90	1384	6223
91	1408	6246
92	1422	6224
93	1442	6230
94	1456	6207
95	1469	6183
96	1480	6151
97	1492	6121
98	1504	6092
99	1515	6063
100	1528	6038
101	1540	6010
102	1551	5979
103	1561	5944
104	1583	5956
105	1605	5966
106	1624	5967
107	1645	5972
108	1654	5935
109	1664	5901
110	1674	5869
111	1684	5835
112	1694	5804
113	1716	5811
114	1730	5792
115	1743	5771
116	1753	5741
117	1766	5718
118	1777	5692
119	1799	5698
120	1812	5676
121	1825	5655
122	1836	5628
123	1848	5604
124	1861	5583
125	1871	5555
126	1884	5533
127	1896	5510
128	1907	5487
129	1929	5492
130	1940	5466
131	1951	5439
132	1962	5416
133	1973	5391
134	1992	5388
135	2004	5364
136	2016	5342
137	2029	5324
138	2041	5300
139	2052	5277
140	2063	5254
141	2076	5234
142	2090	5218
143	2100	5192
144	2111	5168
145	2124	5150
146	2136	5130
147	2148	5109
148	2160	5089
149	2170	5064
150	2181	5041
151	2191	5018
152	2203	4997
153	2215	4977
154	2228	4959
155	2243	4946
156	2257	4931
157	2270	4913
158	2284	4900
159	2301	4889
160	2316	4877
161	2339	4881
162	2349	4857
163	2357	4830
164	2369	4811
165	2379	4787
166	2388	4763
167	2399	4741
168	2411	4722
169	2424	4706
170	2437	4688
171	2449	4672
172	2467	4664
173	2481	4648
174	2504	4651
175	2516	4632
176	2529	4615
177	2541	4597
178	2556	4584
179	2580	4588
